0.484979 229575
0.479979 233644
0.474979 238882
0.469979 243648
0.464979 248891
0.459979 253923
0.454979 259377
0.449979 265205
0.444979 270608
0.439979 276556
0.434979 282752
0.429979 289203
0.424979 295606
0.419979 302342
0.414979 309359
0.409979 316563
0.404979 323974
0.399979 331996
0.394979 339864
0.389979 348035
0.384979 356858
0.379979 366004
0.374979 375274
0.369979 385082
0.364979 394986
0.359979 405488
0.354979 415862
0.349979 427535
0.344979 438883
0.339979 451460
0.334979 464099
0.329979 477295
0.324979 491151
0.319979 505577
0.314979 520522
0.309979 536985
0.304979 553483
0.299979 570614
0.294979 588225
0.289979 607320
0.284979 626942
0.279979 648005
0.274979 669800
0.269979 692882
0.264979 716755
0.259979 742258
0.254979 769173
0.249979 796440
0.244979 826237
0.239979 857298
0.234979 890657
0.229979 925473
0.224979 962796
0.219979 1002325
0.214979 1043079
0.209979 1086630
0.204979 1134461
0.199979 1183893
0.194979 1236610
0.189979 1292960
0.184979 1353200
0.179979 1416635
0.174979 1485054
0.169979 1557735
0.164979 1635250
0.159979 1717320
0.154979 1806163
0.149979 1899570
0.144979 2000212
0.139979 2108098
0.134979 2223160
0.129979 2345907
0.124979 2477066
0.119979 2617215
0.114979 2764604
0.109979 2920444
0.104979 3080946
0.099979 3238017
0.094979 3362960
0.089979 3454649
0.084979 3517745
0.079979 3556503
0.074979 3578885
0.069979 3590153
0.064979 3596508
0.059979 3600663
0.054979 3603541
0.049979 3605625
0.044979 3607130
0.039979 3608007
0.034979 3608714
0.029979 3609141
0.024979 3609371
0.019979 3609459
0.014979 3609526
0.00997899 3609575
0.00497899 3609590
